,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
215,18749188.77,6566306.532000001,42.65,0.21507717010000002,0.2026228923,164607.36432999998,0.4662755549,0.7265361242,0.9012502459,5,Haderslev,510,56029,2016
220,,,41.6,0.20127638679999998,0.2180053623,179873.82239000002,0.5047384382,0.7790408990000001,0.8922668688,2,Billund,530,26434,2016
222,16443326.25,5765341.1325,43.44,0.2336867154,0.1990882475,164402.35064000002,0.44352159469999997,0.7139719428,0.871878684,8,Sønderborg,540,74737,2016
230,14687305.92,5124399.978,43.95,0.2311221261,0.1979276524,152730.22282999998,0.4684270346,0.7291116973999999,0.8999814976,5,Tønder,550,37904,2016
235,21878894.583,7664988.02,41.23,0.1951512014,0.20162201800000001,177478.72582999998,0.4811502703,0.7288196336,0.8962508108,9,Esbjerg,561,115748,2016
244,,,48.57,0.3207772795,0.1817638266,168058.67564,0.4543002697,0.7596385542,0.9089002098000001,1,Fanø,563,3290,2016
245,26046004.35,9362593.26,42.32,0.21027907710000002,0.21214223420000003,170274.24507,0.5022148064,0.7710719076000001,0.9089645034999999,3,Varde,573,50289,2016
248,16598847.713,5908706.2725,41.59,0.2009948157,0.220517491,170332.78407999998,0.5019321296,0.776121217,0.9036979789,4,Vejen,575,42869,2016
252,20171037.51,7100404.59,43.11,0.2218870227,0.20527769769999998,162905.96382,0.4629796341,0.7330586351999999,0.8690571229999999,5,Aabenraa,580,58869,2016
257,17973440.58,6231986.706,41.54,0.2010301172,0.20806794059999997,182603.53196,0.4674493273,0.7219668199,0.8936119920000001,5,Fredericia,607,50689,2016
262,20468056.65,7128613.8729,39.6,0.17586206899999998,0.21543300010000002,177584.35662,0.48889865159999996,0.7389156181000001,0.8648800874,7,Horsens,615,87736,2016
269,30140391.24,10469055.126,40.15,0.1812704536,0.21657528010000002,186168.39417,0.4998043223,0.7588479596,0.8818324129,5,Kolding,621,91695,2016
274,21114255.206,7397238.4163,40.41,0.18525648379999998,0.22165608469999998,190108.98176,0.5007172839,0.7658929770999999,0.8810105733,8,Vejle,630,111743,2016
282,20551005.343,7146723.6514,40.27,0.18490484920000003,0.2175005091,174866.40863,0.5021488915,0.760293727,0.8954584112999999,7,Herning,657,87593,2016
289,21553246.388,7613725.0275,40.75,0.194855914,0.21773763440000002,172421.03144000002,0.4982838022,0.7682758621,0.9174327751000001,4,Holstebro,661,57661,2016
293,,,44.74,0.24365482230000002,0.19057710309999998,172085.2748,0.4873036261,0.7635235515000001,0.9342456279000001,2,Lemvig,665,20399,2016
295,,,43.81,0.2379257038,0.2033072563,158843.3945,0.45982142859999997,0.7330248212,0.912406015,1,Struer,671,21474,2016
296,17102115.825,6049108.6275,44.14,0.23988006,0.20239880059999998,172040.5141,0.4761200792,0.7526284298,0.9269415103,4,Syddjurs,706,41889,2016
300,,,43.9,0.23200083989999998,0.18215701199999998,159516.44698,0.46694204,0.7107968575,0.9260964508,2,Norddjurs,707,38144,2016
302,17995941.525,6270963.7575,39.94,0.1802567046,0.2467077116,192389.41496,0.5121476959000001,0.8076038968000001,0.9321527139,4,Favrskov,710,47655,2016
306,,,42.77,0.22197841570000001,0.2171420895,178934.85150999998,0.4802835225,0.7688369861,0.9207303396,1,Odder,727,22131,2016
307,24165828.411,8434397.7086,41.14,0.19661020399999998,0.2043763632,170029.78581,0.4787894887,0.7281795086,0.9155768523000001,7,Randers,730,97520,2016
314,29438273.85,10214517.516,40.75,0.18918859670000002,0.22567598670000003,188496.20621,0.4995387049,0.7715272175,0.9226012653,5,Silkeborg,740,90719,2016
319,,,50.62,0.3329752954,0.1487647691,139394.87863,0.44886975240000004,0.7348209652,0.9103875134999999,1,Samsø,741,3710,2016
320,14484212.9,5018382.915,39.72,0.1732421649,0.2522640354,205813.37453,0.5120684793,0.8066210639,0.9336275112000001,6,Skanderborg,746,59481,2016
